company,annual_report,400_owners_index,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present,lang_report,country,assets
New Jersey Investment Division,NJID-Annual-Report-2023,204,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,English,USA,76
IBM (US) Retirement Fund,NA,205,,,,,,,,NA,USA,76
General Electric Pension,NA,206,,,,,,,,NA,USA,74
New South Wales Treasury Corporation,NSWTC-Annual-Report-2023,207,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,English,Australia,74
Los Angeles County Employees Retirement Assocation,LACERA-Annual-Comprehensive-Report-2023,208,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,74
QIC,QIC-Annual-Report-2023,209,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Australia,73
GM pension,NA,210,,,,,,,,NA,USA,73
Pennsylvania Public School Employees' Retirement System,PPSERS-Annual-Comprehensive-Report-2023,211,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,73
United Parcel Service Pension,NA,212,,,,,,,,NA,USA,72
Teachers' Retirement System of the State of Illinois,TRSSI-Annual-Comprehensive-Report-2023,213,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,71
University Texas/Texas A&M Investment Company,UTIMCO-Annual-Report-2023,214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,70
Samruk-Kazyna,Samruk-Kazyna-Annual-Report-2023,215,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Kazakhstan,70
Maryland State Retirement,MSR-Annual-Comprehensive-Report-2023,216,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,68
Afore XXI Banorte,NA,217,,,,,,,,NA,Mexico,68
Libyan Investment Authority,LIA-Overview-Valuation-2019,218,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Libya,67
Tennessee Consolidated Retirement System,TCRS-Annual-Comprehensive-Report-2023,219,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,65
Nevada Public Employees' Retirement,NA,220,,,,,,,,NA,USA,64
Cbus Super,Cbus-Super-Annual-Integrated-Report-2023,221,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Australia,63
Afore Profuturo GNP,GNP-Annual-Report-2023,222,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Spanish,Mexico,62
Lilly Endowment,LE-Annual-Report-2023,223,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,62
Northrop Grumman,NG-Annual-Report-2023,224,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,English,USA,62
Coloroda Public Employees Retirement,CPER-Annual-Comprehensive-Report-2023,225,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,61
AMP,AMP-Annual-Report-2023,226,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Australia,61
Brunei Investment Agency,NA,227,,,,,,,,NA,Brunei,60
HESTA Super Fund,HESTA-Annual-Report-2023,228,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,English,Australia,59
UAW Retiree Medical Benefits Trust,UAW-All-Members-Benefits-Highlights-2023,229,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,59
Insignia Financial,Insignia-Financial-Annual-Report-2023,230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,English,Australia,58
REST Super,REST-super-Annual-Report-2023,231,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,English,Australia,57
Cascade Investments,NA,232,,,,,,,,NA,USA,57
Texas Permanent School Fund,TPSF-Annual-Comprehensive-Report-2023,233,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,English,USA,57
Victorian Funds Management Corporation,VFMC-Annual-Report-2023,234,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English,Australia,57
State Oil Fund of Azerbaijan,Oil-Fund-Azerbaijan-Annual-Report-2023,235,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Azerbaijan,56
Investment Management Corporation of Ontario,IMCO-Annual-Report-2023,236,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,English,Canada,56
Western Conference of Teamsters Pension Trust,NA,237,,,,,,,,NA,USA,55
Afore Citibanamex,Afore-Citibanamex-Raporte-de-la-Administracion-2023,238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Spanish ,Mexico,55
Ford Motor Company Pension Fund,NA,239,,,,,,,,NA,USA,55
Sura Afore,Sura-Afore-Informe-Anual-2023,240,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Spanish ,Mexico,55
Wells Fargo Retirement Plan,WFRP-Annual-Report-2023,241,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,55
NYC Police Pension Fund,NYCPPF-Annual-Comprehensive-Report-2023,242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,54
Illinois Municipal Retirement Fund,IMRF-Annual-Comprehensive-Report-2023,243,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,English,USA,54
JP Morgan Chase,JP-Morgan-Chase-Annual-Report-2023,244,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,USA,54
Arizona State Retirement System,ASRS-Annual-Comprehensive-Report-2023,245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,52
AFP Habitat SA,AFP-Habitat-Cuenta-Pública-2023,246,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Spanish,Chile,52
Harvard Management Company (Harvard University Investment),HMC-Annual-Report-2023,247,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,English,USA,51
Public School and Education Employee Retirement Systems of Missouri,PSEERSM-Annual-Comprehensive-Report-2023,248,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,50
Exelon Corporation Pension Plan,NA,249,,,,,,,,NA,USA,50
National Federation of Mutual Aid Associations for Municipal Personnel (Shichousonren),NFMAAMP-Annual-Report-2022,250,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Japan,50
New Mexico State Investment Council,NA,251,,,,,,,,NA,USA,50
Office of the Treasurer of the State of Connecticut,Treasurer-Connecticut-Annual-Report-2023,252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,50
Connecticut Retirement Plans and Trust Funds,NA,253,,,,,,,,NA,USA,50
FedEx Pension,NA,254,,,,,,,,NA,USA,49
Boeing Employee Retirement Plan,NA,255,,,,,,,,NA,USA,49
State Farm Pension,NA,256,,,,,,,,NA,USA,48
Retirement Systems of Alabama,RSA-Annual-Report-2023,257,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,48
Mastercard Foundation Asset Management,NA,258,,,,,,,,NA,Canada,47
Indiana Public Employees Retirement,INPRS-Annual-Comprehensive-Report-2023,259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,47
Texas County and District Retirement System,TCDRS-Annual-Comprehensive-Report-2023,260,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,46
New Zealand Superannuation,New-Zealand-Superannuation-Annual-Report-2023,261,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,New Zealand,46
Local Authorities Pension Plan Alberta,LAPP-Annual-Report-2023,262,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Canada,46
Verizon Investment Management,NA,263,,,,,,,,NA,USA,46
Public School Employees,NA,264,,,,,,,,NA,Japan,45
Iowa Public Employees Retirement System,IPERS-Annual-Comprehensive-Report-2023,265,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,English,USA,44
Stanford Management Company,NA,266,,,,,,,,NA,USA,42
Microsoft,Microsoft-Annual-Report-2023,267,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,English,USA,42
Texas Municipal Retirement System,TMRS-Annual-Comprehensive-Report-2022,268,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,41
Minnesota Public Employees Retirement Association,MNPERA-Annual-Comprehensive-Report-2023,269,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,English,USA,41
AFP Provida,Pro-Vida-Reporte-Integrado-2023,270,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Spanish ,Chile,41
Nebraska Investment Council,NIC-Annual-Report-2023,271,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,41
Yale University Investment Office ,Yale-Investment-Report-2023,272,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,41
South Carolina Retirement System Investment Commission,SCRSIC-Annual-Investment-Report-2023,273,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,41
CommonSpirit Health,Common-Spirit-Health-Financial-Statements-2024,274,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,40
Employees Retirement System of Texas,ERST-Annual-Comprehensive-Report-2023,275,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,40
Retirement Fund KWAP,KWAP-Annual-Report-2022,276,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,English,Malaysia,38
AFP Proteccion,AFP-Proteccion-Informe-Annual-2023,277,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Spanish ,Colombia,38
Nokia USA,Nokia-USA-Annual-Report-2023,278,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,38
Commonwealth Superannuation Corporation,Commonwealth-Superannuation-Corporation-Annual-Report-2023,279,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,English,Australia,38
AFP Capital,NA,280,,,,,,,,NA,Chile,37
Pennsylvania State Employees' Retirement System,PSERS-Annual-Comprehensive-Report-2023,281,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,36
Utah Retirement Systems,URS-Annual-Comprehensive-Report-2023,282,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,36
Social Insurance Funds,NA,283,,,,,,,,NA,Vietnam,36
Public Employees' Retirement System of Mississippi,PERSM-Annual-Comprehensive-Report-2023,284,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,36
Massachusetts Teachers' Retirement System,MTRS-Annual-Statement-2023,285,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,35
Japan Post Bank,JPB-Annual-Report-2023,286,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Japan,35
Exxon Mobil Pension Fund,NA,287,,,,,,,,NA,USA,35
AFP Cuprum,AFP-Cuprum-Memoria-Anual-2023,288,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Spanish,Chile,35
New York State Deferred Compensation Plan,NA,289,,,,,,,,NA,USA,34
Princeton University Investment Company,Princeton-Treasurer-2023,290,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,34
Korea Investment Management,NA,291,,,,,,,,NA,South Korea,34
Alaska Retirement Management Board,NA,292,,,,,,,,NA,USA,34
San Francisco City & County,SFCC-Annual-Comprehensive-Report-2023,293,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,34
San Francisco Employees' Retirement System,SFERS-Annual-Report-2023,294,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,34
Ontario Power Generation,OPG-Integrated-ESG-Annual-Report-2023,295,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Canada,33
Illinois State Board of Investment,ISBI-Annual-Report-2023,296,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,32
Los Angeles Fire and Police Pension Fund,LAFPPF-Annual-Report-2023,297,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,31
Chevron Corporation Pension Fund,Chevron-Annual-Funding-Notice-2023,298,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,31
Wyoming State Treasurer's Office,WSTO-Annual-Report-2023,299,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,31
Honeywell Pension,NA,300,,,,,,,,NA,USA,31
CVS Health,CVS-Health-Annual-Report-2023,301,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,USA,31
BC Public Sector Pension Plans,BCPSPP-Annual-Report-2023,302,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,English,Canada,31
Commonfund,NA,303,,,,,,,,NA,USA,30
Funds SA,Funds-SA-Annual-Review-2023,304,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Australia,30
Pfizer Pension Fund,NA,305,,,,,,,,NA,USA,30
QBE Insurance Group,QBE-Annual-Report-2023,306,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,Australia,30
Procter & Gamble Pension Fund,NA,307,,,,,,,,NA,USA,30
Togethr Super (Equip & Catholic Super),Togethr-Super-Annual-Report-2023,308,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,English,Australia,30
AT&T Retirement Fund,NA,309,,,,,,,,NA,USA,30
Government Service Insurance System,GSIS-Annual-Report-2023,310,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,English,Philippines,29
State Universities Retirement System of Illinois,SURSI-Annual-Comprehensive-Report-2023,311,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,29
Montana Board of Investment,MBI-Annual-Report-2023,312,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,English,USA,29
Accident Compensation Corporation,ACC-Annual-Report-2023,313,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,New Zealand,29
Malaysia Khazanah Nasional,Khazana-Annual-Review-2023,314,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,English,Malaysia,29
DUMAC (Duke University Investment),Duke-Endowment-2023,315,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,28
United Airlines Holdings,UAH-Annual-Report-2023,316,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,English,USA,28
B.C. Teachers Pension Plan,BCTPP-Annual-Report-2023,317,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Canada,28
Walt Disney Pension,NA,318,,,,,,,,NA,USA,28
Kentycky Teachers' Retirement System,TRSSK-Annual-Comprehensive-Report-2023,319,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,27
Super SA,Super-SA-Annual-Report-2023,320,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Australia,27
Government Employees Super Board,GESB-Annual-Report-2023,321,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Australia,27
Teachers' Retirement System of Louisiana,TRSL-Annual-Comprehensive-Report-2023,322,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,27
West Virginia Public Employees' Retirement System,WVPERS-Annual-Comprehensive-Report-2023,323,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,26
SUNY,NA,324,,,,,,,,NA,USA,26
Wespath Benefits,Wespath-Benefits-Annual-Report-2023,325,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,English,USA,26
Kansas Public Employees Retirement System,KPERS-Annual-Comprehensive-Report-2023,326,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,26
Public Service Pension Fund of Taiwan,PSPFT-Annual-Report-2023,327,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Taiwan,25
State Super (SAS Trustee),State-Super-Annual-Report-2023,328,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Australia,25
Porvenir,NA,329,,,,,,,,NA,Colombia,25
PepsiCo Pension,NA,330,,,,,,,,NA,USA,25
Massachusetts institute of Technology Investment Management Company (MITIMCo),MITTreasurersReport2023,331,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,25
National Railroad Retirement NRRIT,NRRIT-Annual-Management-Report-2023,332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,24
Emergency Services & State Super (ESSSuper),ESSSuper-Annual-Report-2023,333,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Australia,24
PG&E,PGE-Annual-Report-2023,334,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,English,USA,24
Public Employee Retirement System of Idaho (PERSI),PERSI-Annual-Report-2023,335,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,English,USA,24
Employees' Retirement System of Georgia,ERSG-Annual-Comprehensive-Report-2023,336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,24
Los Angeles City Employees Retirement LACERS,LACERS-Annual-Comprehensive-Report-2023,337,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,23
Petros Pension,Petros-Pension-Annual-Report-2023,338,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Brazil,23
Employees' Retirement System of State of Hawaii,ERSH-Annual-Comprehensive-Report-2023,339,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,23
Oklahoma Teachers Retirement System,OTRS-Annual-Comprehensive-Report-2022,340,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,23
Ontario Pension Board,OPB-Annual-Report-2023,341,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Canada,23
Hydro-Quebec,Hydro-Quebec-Annual-Report-2023,342,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Canada,23
Air Canada,Air-Canada-Annual-Report-2023,343,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,English,Canada,23
Prudential Financial,Preduntial-Financial-Annual-Report-2023,344,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,23
Canada Post Pension,Canada-Post-Pension-Annual-Report-2023,345,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,English,Canada,23
Arkansas Teacher Retirement System,ATRS-Annual-Comprehensive-Report-2023,346,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,22
Orange County Employees Retirement System,OCERS-Annual-Comprehensive-Report-2023,347,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,22
Truist Financial,Truist-Financial-Annual-Report-2023,348,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,English,USA,22
Ohio Bureau of Workers Compensation,Ohio-Bureau-Workers-Compensation-Annual-Report-2023,349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,22
Johnson & Johnson Pension Plan,NA,350,,,,,,,,NA,USA,22
University of Pennsylvania Investment Office,NA,351,,,,,,,,NA,USA,22
Quebec Construction Industry,Quebec-Construction-Annual-Report-2023,352,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,French,Canada,22
Howard Hughes Medical Institute,NA,353,,,,,,,,NA,USA,21
Los Angeles Water and Power Employees Retirement Plan,RPO-Annual-Summary-Report-2023,354,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,21
Bell Canada,NA,355,,,,,,,,NA,Canada,21
South Dokato Investment Council,SDIC-Annual-Report-2023,356,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,20
Merck & Co Inc Pension Fund,NA,357,,,,,,,,NA,USA,20
The Korea Teachers Pension,NA,358,,,,,,,,NA,South Korea,20
Brighter Super,Brighter-Super-Annual-Report-2023_24,359,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Australia,20
Spirit Super (MTAA & Tasplan),Spirit-Super-Annual-Report-2023,360,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,English,Australia,20
North Dakota State Investment Board,NDRIO-Annual-Report-2023,361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,20
Maine Public Employees Retirement System,MPERS-Annual-Comprehensive-Report-2023,362,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,20
Dow Chemical Pension,Dow-Chemical-Annual-Report-2023,363,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,English,USA,20
University of Michigan Investment Office,University-Michigan-Endowment-2023,364,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,English,USA,19
School Employees Retirement System of Ohio,SERSO-Annual-Comprehensive-Report-2023,365,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,19
University of Notre Dame Endownment,NA,366,,,,,,,,NA,USA,19
Ohio Police and Fire Pension Fund,OPF-Annual-Comprehensive-Report-2023,367,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,19
FCA US,FCA-US-Annual-Report-2023,368,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,18
The Federal Economists Foundation,FUNCEF-Annual-Report-2023,369,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Portuguese,Brazil,18
OPSEU pension Trust,OPSEU-Annual-Funded-Status-Report-2023,370,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Canada,18
San Diego County Employees Retirement Association,SDCERA-Annual-Comprehensive-Report-2023,371,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,18
National Electric Benefit Fund,NA,372,,,,,,,,NA,USA,18
Bank of America Pension Fund,NA,373,,,,,,,,NA,USA,18
Church Pension Fund US,Church-Pension-Fund-Annual-Report-2023,374,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,18
Public Employees Retirement Association of New Mexico,PERA-Annual-Comprehensive-Report-2023,375,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,18
New Mexico Educational Retirement Board,NA,376,,,,,,,,NA,USA,18
Alberta Teachers' Retirement Fund,ATRF-Annual-Report-2023,377,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Canada,17
General Dynamics Pension Fund,NA,378,,,,,,,,NA,USA,16
Louisiana State Employees' Retirement System,LASERS-Annual-Comprehensive-Report-2023,379,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,16
Eli Lilly,NA,380,,,,,,,,NA,USA,16
Delta Airlines Pension Fund,Delta-Report-Financial-Statement-2023,381,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,English,USA,16
International Paper Pension,NA,382,,,,,,,,NA,USA,16
Consolidated Edison,Consolidated-Edison-Annual-Report-2023,383,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,English,USA,15
San Bernandino County Employees Retirement Association,SBCERA-Annual-Comprehensive-Report-2023,384,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,15
Columbia Investment Management Company,NA,385,,,,,,,,NA,USA,15
Southern Co,Southern-Co-Annual-Report-2023,386,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,English,USA,15
Government Pension Fund Global,GPFT-Annual-Risk-Report-2023,387,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Thai,Thailand,15
University of Virginia Investment Management Company,UVIMCO-Annual-Report-2023,388,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,14
3M,3M-Annual-Report-2023,389,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,14
Northwestern University Investment Office,Northwestern-Endowment-2023,390,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,14
Public Service Pension Plan Canada,PSPPC-Annual-Report-2023,391,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Canada,13
Sacramento County Employees Retirement System,SCERS-Annual-Comprehensive-Report-2023,392,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,13
Oslo Pensjonsforsikring OPF,OPF-Annual-Report-2023,393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Norwegian,Norway,13
Banco Santander UK,Santander-UK-Annual-Report-2023,394,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,UK,14
Kapan Tjanstepensionsforening (Government Employees Pension Fund),Kapan-Annual-Report-2023,395,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,English,Sweden,14
APK Aargauische Pensionskasse,APK-Annual-Report-2023,396,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,German,Switzerland,14
EPPF,EPPF_2024_IAR_-_Finalised_-_Single_page_view,397,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,English,South Africa,
Lífeyrissjóður verzlunarmanna,english-arsreikningur_2023_150324_net_intera,398,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Iceland,
Washington University Investment Management Company,CRTV-5969-Endowment-Annual-Report-23-24-DIGITAL,399,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,
Alameda County Employees' Retirement Association,06.26_acfr_2024_05,400,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,USA,
